doc_id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
59,0.092376441471,0.094143721964,0.142169448023,0.094824034728,0.066481365218,0.071015235719,0.123192714814,0.075723658439,0.097903873386,0.142169506238
60,0.229275754339,0.050583634758,0.240637490859,0.050825279765,0.036376645861,0.032484781509,0.019903490811,0.033542205996,0.065734320222,0.240636395880
61,0.010904112939,0.284076688761,0.024601007604,0.293661976686,0.097855337304,0.048256458591,0.009342672682,0.197753569647,0.008947090242,0.024601085543
62,0.007363806985,0.224573058419,0.015886051018,0.220157944180,0.368932311724,0.040155296649,0.007286800501,0.093431982113,0.006326647338,0.015886101073
63,0.662712656359,0.019852729892,0.073218133872,0.019982512146,0.013440038004,0.016764262548,0.013062228879,0.015477234311,0.092272324707,0.073217879282
64,0.109270427849,0.092259123366,0.163532576374,0.092480062460,0.077554245879,0.076498006437,0.054913242898,0.078418045902,0.091541766339,0.163532502495
65,0.089097905727,0.097462811464,0.150815673519,0.098283917191,0.070477067151,0.064224756434,0.112318064883,0.079528533025,0.086975373563,0.150815897044
66,0.294668380047,0.015632954899,0.275431628722,0.015754219317,0.010423279550,0.011654150156,0.007277814568,0.012589894675,0.081138704859,0.275428973208
67,0.156376866544,0.051011698336,0.268948336505,0.051180083551,0.035814740174,0.055099384377,0.020793088526,0.036160699675,0.055668303870,0.268946798441
68,0.161160591765,0.026868610750,0.314314742158,0.027027841494,0.018858364885,0.017266690661,0.010956837374,0.020257782430,0.088975800397,0.314312738086
69,0.075004475068,0.054422574382,0.288598113915,0.054917821730,0.031449259988,0.035897736961,0.082541829933,0.037829567672,0.050738678540,0.288599941811
70,0.046592924941,0.077982468953,0.055167906717,0.078385106963,0.057399002207,0.056482642766,0.476284000744,0.054987104958,0.041550905650,0.055167936100
71,0.020842643544,0.137698991558,0.047592508857,0.136843309475,0.087585089169,0.350081638288,0.008937129248,0.146966633386,0.015859486447,0.047592570029
72,0.130723077921,0.051438685064,0.259407055225,0.051910535143,0.034255145909,0.032507543305,0.083496299345,0.038795058064,0.058059692681,0.259406907344
73,0.007050303282,0.164801553216,0.010529146914,0.159861820454,0.493347122442,0.045143517571,0.005897714306,0.096667656999,0.006172002738,0.010529162078
74,0.023035024815,0.191000323571,0.034247397037,0.189907306128,0.249037668447,0.074260215737,0.027334760939,0.156108631684,0.020821210559,0.034247461084
75,0.015457166256,0.188448585601,0.024572331809,0.185009602280,0.348188634916,0.062811178750,0.016882177597,0.119290519864,0.014767419880,0.024572383048
76,0.008671564050,0.210354026755,0.016768296742,0.205961609072,0.187074535646,0.047923839210,0.012345209564,0.285510958470,0.008621616661,0.016768343831
77,0.023555217190,0.189793780107,0.036784563107,0.189535350043,0.183591162036,0.080218391451,0.042087202209,0.197406433016,0.020243275958,0.036784624884
78,0.011065966539,0.127199029267,0.017159110653,0.124706996044,0.491433930046,0.054188949886,0.011305885664,0.134612862138,0.011168126136,0.017159143627
79,0.016525898747,0.145219368746,0.024698405282,0.142035171151,0.394633646625,0.055955105829,0.014225764890,0.165286721990,0.016721461944,0.024698454796
80,0.154070979197,0.041183693695,0.303068838455,0.041520649559,0.027688114406,0.027094334189,0.022776861543,0.031839044010,0.047689340306,0.303068144640
81,0.015111461447,0.099242118411,0.029055887031,0.099503730671,0.044870931682,0.559718799361,0.024800077615,0.084888900571,0.013752149851,0.029055943360
82,0.005162181930,0.199666241259,0.007495899017,0.195165337705,0.307853181617,0.121334611352,0.012453139483,0.138466953515,0.004906540983,0.007495913139
83,0.004141268120,0.094585082018,0.006251691394,0.093010994997,0.690382723863,0.049997399817,0.003924178586,0.047431679639,0.004023277797,0.006251703769
84,0.105997757499,0.042383503554,0.329029589866,0.042751739004,0.025071909912,0.028766196044,0.017020252313,0.031749094186,0.048200477165,0.329029480456
